"Year","barrier_days","barrier","ind","wyt","WYT","Model"
2011,0,"Out","5.1","W","Wet","Yes"
2012,98,"In","2.2","D","Dry","Yes"
2013,0,"Out","1.6","C","Critical","Yes"
2014,94,"In","1.1","C","Critical","Yes"
2015,85,"In","0.7","C","Critical","Yes"
2016,97,"In","2.4","D","Dry","Yes"
2017,0,"Out","6.2","W","Wet","No"
2018,63,"In","3.0","BN","Below Normal","No"
2019,0,"Out","4.2","W","Wet","No"
2020,0,"Out","2.2","D","Dry","No"
2021,0,"Out","1.3","C","Critical","No"
2022,0,"Out","1.5","C","Critical","No"
2023,0,"Out","6.5","W","Wet","No"
2024,0,"Out","3.4","AN","Above Normal","No"
